Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Mozambique,Sub-Saharan Africa,2015,94,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137
Albania,Central and Eastern Europe,2015,95,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894
Bosnia and Herzegovina,Central and Eastern Europe,2015,96,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367
Lesotho,Sub-Saharan Africa,2015,97,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832
Dominican Republic,Latin America and Caribbean,2015,98,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305
Laos,Southeastern Asia,2015,99,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799
Mongolia,Eastern Asia,2015,100,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759
Swaziland,Sub-Saharan Africa,2015,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676
Greece,Western Europe,2015,102,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101
Lebanon,Middle East and Northern Africa,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059
Hungary,Central and Eastern Europe,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074
Honduras,Latin America and Caribbean,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408
Tajikistan,Central and Eastern Europe,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399
Tunisia,Middle East and Northern Africa,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466
Palestinian Territories,Middle East and Northern Africa,2015,108,4.715,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384
Bangladesh,Southern Asia,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767
Iran,Middle East and Northern Africa,2015,110,4.686,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944
Ukraine,Central and Eastern Europe,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714
Iraq,Middle East and Northern Africa,2015,112,4.677,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335
South Africa,Sub-Saharan Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956
Ghana,Sub-Saharan Africa,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919
Zimbabwe,Sub-Saharan Africa,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191
Liberia,Sub-Saharan Africa,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729
India,Southern Asia,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513
Sudan,Sub-Saharan Africa,2015,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857
Haiti,Latin America and Caribbean,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173
Congo (Kinshasa),Sub-Saharan Africa,2015,120,4.517,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712
Nepal,Southern Asia,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637
Ethiopia,Sub-Saharan Africa,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876
Sierra Leone,Sub-Saharan Africa,2015,123,4.507,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009
Mauritania,Sub-Saharan Africa,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773
Kenya,Sub-Saharan Africa,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555
Djibouti,Sub-Saharan Africa,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125
Armenia,Central and Eastern Europe,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873
Botswana,Sub-Saharan Africa,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181
Myanmar,Southeastern Asia,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805
Georgia,Central and Eastern Europe,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541
Malawi,Sub-Saharan Africa,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791
Sri Lanka,Southern Asia,2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108
Cameroon,Sub-Saharan Africa,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071
Bulgaria,Central and Eastern Europe,2015,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991
Egypt,Middle East and Northern Africa,2015,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927
Yemen,Middle East and Northern Africa,2015,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313
Angola,Sub-Saharan Africa,2015,137,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939
Mali,Sub-Saharan Africa,2015,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293
Congo (Brazzaville),Sub-Saharan Africa,2015,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135
Comoros,Sub-Saharan Africa,2015,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812
Uganda,Sub-Saharan Africa,2015,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766
Senegal,Sub-Saharan Africa,2015,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395
Gabon,Sub-Saharan Africa,2015,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895
Niger,Sub-Saharan Africa,2015,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877
Cambodia,Southeastern Asia,2015,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195
Tanzania,Sub-Saharan Africa,2015,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079
Madagascar,Sub-Saharan Africa,2015,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851
Central African Republic,Sub-Saharan Africa,2015,148,3.678,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223
Chad,Sub-Saharan Africa,2015,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296
Guinea,Sub-Saharan Africa,2015,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172
Ivory Coast,Sub-Saharan Africa,2015,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723
Burkina Faso,Sub-Saharan Africa,2015,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494
Afghanistan,Southern Asia,2015,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521
Rwanda,Sub-Saharan Africa,2015,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042
Benin,Sub-Saharan Africa,2015,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328
Syria,Middle East and Northern Africa,2015,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858
Burundi,Sub-Saharan Africa,2015,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302
Togo,Sub-Saharan Africa,2015,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726
Denmark,Western Europe,2016,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939
Switzerland,Western Europe,2016,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463
Iceland,Western Europe,2016,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137
Norway,Western Europe,2016,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465
Finland,Western Europe,2016,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596
Canada,North America,2016,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485
Netherlands,Western Europe,2016,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749
New Zealand,Australia and New Zealand,2016,8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553
Australia,Australia and New Zealand,2016,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465
Sweden,Western Europe,2016,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734
Israel,Middle East and Northern Africa,2016,11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029
Austria,Western Europe,2016,12,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2.69343
United States,North America,2016,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,2.72782
Costa Rica,Latin America and Caribbean,2016,14,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168
Puerto Rico,Latin America and Caribbean,2016,15,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076
Germany,Western Europe,2016,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931
Brazil,Latin America and Caribbean,2016,17,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733
Belgium,Western Europe,2016,18,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355
Ireland,Western Europe,2016,19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988
Luxembourg,Western Europe,2016,20,6.871,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055
Mexico,Latin America and Caribbean,2016,21,6.778,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,3.55906
Singapore,Southeastern Asia,2016,22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375
United Kingdom,Western Europe,2016,23,6.725,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,2.14999
Chile,Latin America and Caribbean,2016,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505
Panama,Latin America and Caribbean,2016,25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559
Argentina,Latin America and Caribbean,2016,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985
Czech Republic,Central and Eastern Europe,2016,27,6.596,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211
United Arab Emirates,Middle East and Northern Africa,2016,28,6.573,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507
Uruguay,Latin America and Caribbean,2016,29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139
Malta,Western Europe,2016,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032
Colombia,Latin America and Caribbean,2016,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471
France,Western Europe,2016,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744
Thailand,Southeastern Asia,2016,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796
Saudi Arabia,Middle East and Northern Africa,2016,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482
Taiwan,Eastern Asia,2016,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523
Qatar,Middle East and Northern Africa,2016,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224
Spain,Western Europe,2016,37,6.361,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663
Algeria,Middle East and Northern Africa,2016,38,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904
Guatemala,Latin America and Caribbean,2016,39,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863
Suriname,Latin America and Caribbean,2016,40,6.269,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852
Kuwait,Middle East and Northern Africa,2016,41,6.239,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085
Bahrain,Middle East and Northern Africa,2016,42,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405
Trinidad and Tobago,Latin America and Caribbean,2016,43,6.168,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.51394
Venezuela,Latin America and Caribbean,2016,44,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468
Slovakia,Central and Eastern Europe,2016,45,6.078,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065
El Salvador,Latin America and Caribbean,2016,46,6.068,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134
Malaysia,Southeastern Asia,2016,47,6.005,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,2.35384
Nicaragua,Latin America and Caribbean,2016,48,5.992,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428
Uzbekistan,Central and Eastern Europe,2016,49,5.987,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638
Italy,Western Europe,2016,50,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918
Ecuador,Latin America and Caribbean,2016,51,5.976,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366
Belize,Latin America and Caribbean,2016,52,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039
Japan,Eastern Asia,2016,53,5.921,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584
Kazakhstan,Central and Eastern Europe,2016,54,5.919,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325
Moldova,Central and Eastern Europe,2016,55,5.897,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,3.38007
Russia,Central and Eastern Europe,2016,56,5.856,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115
Poland,Central and Eastern Europe,2016,57,5.835,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035
South Korea,Eastern Asia,2016,57,5.835,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,2.35015
Bolivia,Latin America and Caribbean,2016,59,5.822,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635
Lithuania,Central and Eastern Europe,2016,60,5.813,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525
Belarus,Central and Eastern Europe,2016,61,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582
North Cyprus,Western Europe,2016,62,5.771,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,1.93447
Slovenia,Central and Eastern Europe,2016,63,5.768,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522
Peru,Latin America and Caribbean,2016,64,5.743,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117
Turkmenistan,Central and Eastern Europe,2016,65,5.658,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,2.21489
Mauritius,Sub-Saharan Africa,2016,66,5.648,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,2.20223
Libya,Middle East and Northern Africa,2016,67,5.615,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374
Latvia,Central and Eastern Europe,2016,68,5.56,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859
Cyprus,Western Europe,2016,69,5.546,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497
Paraguay,Latin America and Caribbean,2016,70,5.538,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091
Romania,Central and Eastern Europe,2016,71,5.528,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184
Estonia,Central and Eastern Europe,2016,72,5.517,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985
Jamaica,Latin America and Caribbean,2016,73,5.51,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682
Croatia,Central and Eastern Europe,2016,74,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462
Hong Kong,Eastern Asia,2016,75,5.458,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614
